id,nama_makanan,kalori,protein,lemak,karbohidrat
1326,Udang papay mentah,273.0,47.8,3.8,12.5
1327,Udang segar,91.0,21.0,0.2,0.1
1328,Ulat sagu panggang,380.0,11.9,30.3,14.9
1329,Ulat sagu segar,241.0,5.8,21.6,5.8
1330,Umbi Uwi segar,120.0,2.8,0.5,82.3
1331,Umbut rotan,34.0,2.4,0.3,5.5
1332,Usus Sapi,130.0,14.0,7.2,1.5
1333,Uwi,101.0,2.0,0.2,19.8
1334,Vermicelli,363.0,8.7,0.4,78.7
1335,Wajit camilan,303.0,6.3,2.7,63.3
1336,Waluh balamak,45.0,0.8,0.9,8.1
1337,Widaran,424.0,1.3,10.7,80.7
1338,Wijen,568.0,19.3,51.1,18.1
1339,Wingko babat,355.0,3.2,15.1,51.4
1340,Woku ubi,143.0,3.1,7.8,15.0
1341,Worst (sosis daging),452.0,14.5,42.3,2.3
1342,Wortel Segar,42.0,1.2,0.6,9.3
1343,Wortel kukus,37.0,1.0,0.6,8.3
1344,Wortel rebus,28.0,0.7,0.5,6.3
1345,Yangko,254.0,3.0,1.1,58.1
1346,Yoghurt,52.0,3.3,2.5,4.0
1347,Artichoke Yerusalem dan Linguine Jantung Artichoke,700.0,20.0,21.0,107.75
1348,Steak dan Telur Gaya Korea,700.0,40.0,33.0,60.75
1349,Tomat Berbumbu Falafel dan Buncis Di Atas Roti Pipih,700.0,20.0,31.0,85.25
1350,Salmon Liar Rebus dengan Kacang Polong dan Morel,700.0,48.0,46.0,23.5
1351,Sup Kacang Tuscan dan Swiss Chard,699.0,40.0,25.0,78.5
1352,Pasta dan Casserole Domba (Pastitsio),699.0,29.0,32.0,73.75
1353,Roti Domba Berbumbu dengan Saus Bawang Putih Pedas,699.0,26.0,56.0,22.75
1354,Sandwich Salad Steak dengan Caper,699.0,49.0,51.0,11.0
1355,Pizza Kentang,698.0,16.0,20.0,113.5
1356,Kaki Ayam Cabai dan Madu,698.0,52.0,50.0,10.0
1357,Pai Domba dan Kismis dengan Kacang Pinus dan Mint,698.0,22.0,48.0,44.5
1358,Kerang Alla Diavola,698.0,39.0,26.0,77.0
1359,Gulungan Lasagna dengan Tomat Panggang dan Terong,698.0,27.0,41.0,55.25
1360,Kue Paskah Coklat Putih dengan Stroberi,697.0,11.0,46.0,59.75
1361,Clafouti dengan Kismis,697.0,10.0,54.0,42.75
1362,Sandwich Coppa Tekan dengan Brokoli Rabe Pesto,696.0,38.0,45.0,34.75
1363,Kentang Panggang dengan Hash Steak Rib-Eye,696.0,21.0,43.0,56.25
1364,Pasta Lobster dengan Saus Krim Herbal,696.0,50.0,29.0,58.75
1365,Pistachio Crème Brûlée dengan Saus Ceri Asam,696.0,10.0,60.0,29.0
1366,Risotto Udang dan Kacang,696.0,18.0,11.0,131.25
1367,Kue Asparagus,696.0,20.0,42.0,59.5
1368,Tiram Krim Di Atas Roti Jagung Panggang,695.0,26.0,15.0,114.0
1369,Galette Keju Kambing dan Daun Bawang,695.0,27.0,25.0,90.5
1370,Ayam Marsala,695.0,59.0,35.0,36.0
1371,Salad Pizza Campur,695.0,29.0,45.0,43.5
1372,Stew Daging Sapi Tuscan dengan Polenta,695.0,54.0,26.0,61.25
1373,Saus Salad Bawang Putih Panggang dan Buttermilk,695.0,13.0,66.0,12.25
1374,Sandwich Cheddar dan Adas Panggang dengan Kari Mayo,694.0,22.0,49.0,41.25
1375,Pasta dengan Terong dan Saus Kemangi,694.0,24.0,32.0,77.5
1376,Rebusan Daging Sapi dan Jamur,694.0,50.0,48.0,15.5
1377,Salad Daging Sapi dan Jeruk dengan Vinaigrette Mustard Bawang Merah,694.0,37.0,52.0,19.5
1378,Linguine dengan Udang Bawang Putih dan Kemangi,694.0,43.0,25.0,74.25
1379,Udang dan Bubur Jagung,694.0,48.0,30.0,58.0
1380,"Ayam Panggang, Paprika, dan Salad Bawang",694.0,50.0,46.0,20.0
1381,Daging Rebus dengan Butternut Squash,694.0,59.0,32.0,42.5
1382,Poulet Au Vinaigre A L'Estragon,694.0,52.0,47.0,15.75
1383,Daging Sapi Ala Thailand dengan Mie,693.0,41.0,24.0,78.25
1384,Sayuran Termarinasi Panggang dengan Mozzarella Segar,693.0,23.0,47.0,44.5
1385,"Couscous Israel, Kacang Polong, Awetan Lemon, Mint dan Keju Kambing",693.0,27.0,27.0,85.5
1386,Ravioli Isi Ricotta (Ravioli Di Ricotta),692.0,30.0,21.0,95.75
1387,Gratin Kentang-Parsinip,692.0,10.0,55.0,39.25
1388,"Quesadilla Jagung Bakar, Zucchini, dan Kacang Hitam",692.0,25.0,39.0,60.25
1389,Shepherd's Pie Sois dengan Ubi Jalar dan Labu,692.0,37.0,25.0,79.75
1390,Salmon dalam Saus Kerang Saffron,692.0,61.0,43.0,15.25
1391,Rebus Udang dengan Saus Lobak Pedas,691.0,35.0,19.0,95.0
1392,Steak Domba Panggang Mediterania,691.0,47.0,48.0,17.75
1393,Kepiting Cangkang Lunak dengan Bayam Layu dan Vinaigrette Tomat-Basil Hangat,691.0,57.0,41.0,23.5
1394,Spaghetti dengan Brokoli Rabe dan Bawang Putih,691.0,19.0,29.0,88.5
1395,Onion Rings Cabai Merah,691.0,11.0,54.0,40.25
1396,Rebusan Daging Sapi Thailand dengan Serai dan Mie,691.0,57.0,25.0,59.5
1397,Pasta dengan Butternut Squash dan Rosemary,691.0,26.0,29.0,81.5
1398,"Farfalle dengan Kacang Polong, Lemon, dan Mint",691.0,28.0,19.0,102.0
1399,Stew Kerang Provençale,691.0,97.0,19.0,33.0
1400,Sup Bawang Perancis dengan Comté,690.0,40.0,38.0,47.0
1401,Spaghettini dengan Saus Tomat Pedas,690.0,25.0,19.0,104.75
1402,Stew Kentang,690.0,20.0,32.0,80.5
1403,Cokelat Aprikot Kugelhupf,689.0,11.0,28.0,98.25
1404,Ikan Lele Goreng Oven dengan Saus Rémoulade,689.0,34.0,46.0,34.75
1405,Lasagna Kacang Hitam Kinstlinger-Bruhn,689.0,38.0,35.0,55.5
1406,Casserole Mie Tuna,689.0,36.0,35.0,57.5
1407,Tenderloin Daging Sapi dengan Krim Lobak Bawang Putih,688.0,37.0,55.0,11.25
1408,pai banoffee,688.0,11.0,36.0,80.0
1409,Pizza Terong dan Tomat,687.0,24.0,25.0,91.5
1410,Keju Matzo Blintz dengan Asparagus dan Dill,687.0,37.0,44.0,35.75
1411,Panettone Panzanella dengan Pancetta dan Kubis Brussel,687.0,17.0,49.0,44.5
1412,Lo Mein Daging Sapi,687.0,48.0,25.0,67.5
1413,Quesadillas Salmon Asap dengan Tomat Hangat dan Arugula,687.0,30.0,38.0,56.25
1414,Ayam Tikka Masala,687.0,38.0,53.0,14.5
1415,Lele dan Okra dengan Saus Mentega Kemiri,686.0,40.0,49.0,21.25
1416,Pastitsio Domba dan Terong,685.0,31.0,37.0,57.0
1417,Kue Keju Espresso-Hazelnut,684.0,10.0,58.0,30.5
1418,"Kerang dengan Daun Bawang ""Leleh"" dan Mentega Tarragon-Caper",684.0,18.0,49.0,42.75
1419,"Lasagna Labu Panggang, Rosemary, dan Bawang Putih",684.0,21.0,42.0,55.5
1420,Burger Domba Wajah Terbuka dengan Saus Yogurt Mint,684.0,35.0,51.0,21.25
1421,Spaghetti dengan Tomat Segar dan Rempah-rempah,683.0,26.0,30.0,77.25
1422,Salmon dengan Sisik Kentang,683.0,48.0,46.0,19.25
1423,"Filet Mignon Pan-Seared dengan Paprika Merah, Tomat, dan Saus Basil",682.0,49.0,47.0,15.75
1424,Lasagna Tortilla Sayur,682.0,28.0,39.0,54.75
1425,Salad Steak dengan Acar Sayuran,682.0,47.0,50.0,11.0
1426,Sandwich Tuna Bakar Cal-Asia,681.0,49.0,37.0,38.0
1427,Kue Frangipane Pir dan Ceri Kering,681.0,10.0,34.0,83.75
1428,"Pasta dengan Tomat, Artichoke, dan Keju Feta",681.0,23.0,29.0,82.0
1429,Artichoke dan Terong Panini,681.0,19.0,40.0,61.25
1430,"Salad Bit, Mint, dan Keju Kambing",681.0,28.0,43.0,45.5
1431,Cabai Picadillo Daging Sapi,681.0,75.0,25.0,39.0
1432,Steak Domba Bumbu Timur Tengah dengan Quince Rebus,680.0,29.0,41.0,48.75
1433,Gratin Dua Kentang Sederhana,679.0,14.0,41.0,63.5
1434,Spaghetti dengan Saus Tomat Krim Kering Matahari,679.0,22.0,24.0,93.75
1435,Cannelloni Udang dan Kepiting,679.0,31.0,38.0,53.25
1436,Daging Cincang dengan Kuah Jamur,679.0,61.0,39.0,21.0
1437,"Ikan Cod Panggang dengan Kentang, Bawang, dan Zaitun",679.0,55.0,36.0,33.75
1438,Telur Dadar Raksasa Southwestern,678.0,40.0,45.0,28.25
1439,Shortcake Jeruk-Almond dengan Cranberry Parfait,678.0,10.0,32.0,87.5
1440,"Pappardelle dengan Labu, Jamur, dan Bayam",678.0,22.0,30.0,80.0
1441,Cabai Ancho Kacang Hitam,678.0,31.0,21.0,91.25
1442,Beef Rump Stew,678.0,60.0,39.0,21.75
1443,Fricassée Ayam dengan Saus Dill Asam Manis Krim,678.0,39.0,44.0,31.5
1444,Sup Udang Pedas dan Mie Kelapa dengan Jamur Shiitake,678.0,15.0,48.0,46.5
1445,Pancake Keju Krim Tepung Jagung dengan Cranberry Kering dan Aprikot dalam Sirup Maple,678.0,11.0,24.0,104.5
1446,Pasta Rustica dengan Mozzarella Asap,677.0,30.0,38.0,53.75
1447,Quesadilla Asparagus Panggang dan Bawang Merah,677.0,24.0,40.0,55.25
1448,Pasta Alla Norma,677.0,25.0,15.0,110.5
1449,Salad Antipasto dengan Saus Kemangi,677.0,35.0,55.0,10.5
1450,Burger dengan Mozzarella dan Bayam-Arugula Pesto,676.0,35.0,47.0,28.25
1451,Ravioli Plum Goreng dengan Krim Mint,676.0,11.0,41.0,65.75
1452,Sup Kacang Putih Florentine dengan Pasta,676.0,28.0,34.0,64.5
1453,"Rebusan Ayam Renyah dengan Lemon, Artichoke, Caper, dan Zaitun",676.0,42.0,48.0,19.0
1454,Shepherd's Pie dengan Topping Parsnip,675.0,43.0,26.0,67.25
1455,Seafood Jeruk Nipis dengan Ubi Panggang,674.0,32.0,41.0,44.25
1456,Risotto Saffron Primavera,674.0,20.0,16.0,112.5
1457,Linguine dengan Saus Zaitun Hijau dan Remah Roti Zesty,674.0,15.0,38.0,68.0
1458,Ikan Panggang dengan Jamur dan Krim,674.0,48.0,43.0,23.75
1459,Cod Panggang dengan Kentang Tumbuk Saffron,673.0,40.0,38.0,42.75
1460,"Penne dengan Ayam, Jamur Shiitake, dan Caper",673.0,39.0,29.0,64.0
1461,Salad Cumi Goreng,673.0,23.0,51.0,30.5
1462,"Lasagne Sosis, Brokoli Rabe, dan Tomat",673.0,29.0,44.0,40.25
1463,Pitas Jinten-Domba Panggang dengan Couscous dan Yogurt,672.0,37.0,42.0,36.5
1464,Kue Keju Ubi Jalar Marmer,672.0,10.0,43.0,61.25
1465,"Burrito Kacang Hitam, Bayam, dan Jamur",672.0,36.0,32.0,60.0
1466,Ragu Bolognese klasik,672.0,40.0,44.0,29.0
1467,Roti Domba Timur Tengah Berbumbu dengan Pita dan Yogurt,672.0,36.0,47.0,26.25
1468,"Fettuccine dengan Zucchini Suwir, Ricotta Segar, dan Kulit Lemon",672.0,23.0,24.0,91.0
1469,Rigatoni dengan Terong dan Renyah Kacang Pinus,671.0,29.0,37.0,55.5
1470,Tartlet Tomat dan Tapenade,671.0,19.0,49.0,38.5
1471,Salad Soba dengan Saus Miso,671.0,16.0,39.0,64.0
1472,"Spaghetti dengan Asparagus, Jamur Shiitake, Lemon, dan Daun Bawang",671.0,27.0,28.0,77.75
1473,Risotto Artichoke dan Parmesan,671.0,22.0,28.0,82.75
1474,"Perciatelli dengan Tuna, Caper, dan Tomat",671.0,35.0,17.0,94.5
1475,Es Krim Oatmeal Praline dengan Saus Berry Hangat,671.0,10.0,25.0,101.5
1476,Puding Roti Pisang dengan Saus Rum,670.0,11.0,38.0,71.0
1477,Salmon Kulit Almond dengan Daun Bawang dan Krim Lemon,670.0,41.0,50.0,14.0
1478,Salmon Panggang Rosemary,670.0,47.0,49.0,10.25
1479,"Fusilli a la Southwest dengan Tomat, Bawang Putih, dan Cabai",670.0,21.0,29.0,81.25
1480,Ayam Kelapa Renyah dengan Saus Paprika Merah Panggang,669.0,35.0,46.0,28.75
1481,Salade Nicoise,669.0,42.0,39.0,37.5
1482,Kue Keju Apel-Almond,669.0,11.0,46.0,52.75
1483,"Penne Nika Hazleton dengan Tomat, Terong, dan Saus Ikan Teri",669.0,19.0,33.0,74.0
1484,Kue Mousse Coklat Putih dan Susu,669.0,12.0,48.0,47.25
1485,Kakap Merah dengan Vinaigrette Jeruk,668.0,38.0,45.0,27.75
1486,Roti Daging Sapi dan Sosis dengan Mozzarella,668.0,55.0,34.0,35.5
1487,Posole Ayam,668.0,53.0,32.0,42.0
1488,Kue Selai Kacang dengan Icing Selai Coklat-Kacang,668.0,15.0,35.0,73.25
1489,Penne dengan Tomat Ceri Panggang Lambat dan Keju Kambing,668.0,25.0,21.0,94.75
1490,Salad Muffuletta Ayam,668.0,42.0,50.0,12.5
1491,"Udang, Alpukat, dan Salad Mie",668.0,29.0,31.0,68.25
1492,Ikan Lele Goreng,667.0,29.0,45.0,36.5
1493,Sup Brokoli dengan Keju Cheddar,667.0,22.0,58.0,14.25
1494,Tostadas Ayam Ketumbar dengan Kacang Refried dan Adas Panggang,667.0,46.0,31.0,51.0
1495,Bratwurst Panggang dan Sandwich Wajah Terbuka Bawang,667.0,23.0,50.0,31.25
1496,Burung Puyuh yang Dioles Rempah,667.0,51.0,44.0,16.75
1497,"Sup Kentang Kari, Bayam, dan Kacang Garbanzo",667.0,20.0,32.0,74.75
1498,Kerang dengan Minyak Tomat Pedas dan Roti Panggang,667.0,45.0,40.0,31.75
1499,Baby Back Ribs Glazur Paprika,667.0,35.0,53.0,12.5
1500,Sup Daging Sapi Vietnam dengan Adas Bintang,667.0,61.0,28.0,42.75
1501,"Penne dengan Brokoli Rabe, Tomat, dan Parmesan",666.0,34.0,31.0,62.75
1502,Strozzapreti Carbonara dengan Lobak,666.0,25.0,32.0,69.5
1503,Ayam dan Pangsit dengan Jamur,666.0,44.0,40.0,32.5
1504,Persik dengan Topping Kue Pendek,666.0,12.0,28.0,91.5
1505,puding roti coklat,666.0,17.0,30.0,82.0
1506,Dada Bebek dengan Persik Panggang dan Nasi Goreng Kenari-Peterseli,665.0,56.0,18.0,69.75
1507,"Pasta dengan Cumi, Tomat, dan Caper",665.0,28.0,29.0,73.0
1508,Burrito Kacang Goreng,665.0,20.0,45.0,45.0
1509,Cupcake Coklat-Almond dengan Frosting Kelapa Halus,664.0,10.0,43.0,59.25
1510,Salad Mie Asia Dingin dengan Ayam dan Mentimun,663.0,54.0,13.0,82.5
1511,Tataki Daging Sapi Jahe dengan Saus Lemon-Kedelai,663.0,47.0,44.0,19.75
1512,Torte Cokelat-Pistachio dengan Ganache Cokelat Hangat,663.0,13.0,49.0,42.5
1513,Farfalle Panggang Empat Keju,662.0,30.0,29.0,70.25
1514,"Roti Domba Sisilia Direbus dengan Terong, Paprika, dan Tomat",662.0,25.0,41.0,48.25
1515,Puding Nasi dengan Saus Kenari Cranberry,662.0,15.0,21.0,103.25
1516,Crepes Pisang Jeruk,662.0,14.0,36.0,70.5
1517,Pizza Tuna Bakar,662.0,42.0,27.0,62.75
1518,Cumi Goreng dengan Mayones Peperoncini,662.0,20.0,52.0,28.5
1519,"Salad Bayam Hangat, Jamur, dan Keju Kambing",661.0,16.0,60.0,14.25
1520,Mac and Cheese Ubi,661.0,21.0,25.0,88.0
1521,"Daging Sapi Muda dengan Lemon, Zaitun, Tomat Panggang, dan Buah Caper",661.0,65.0,40.0,10.25
1522,Gulungan Lasagna Bayam,661.0,37.0,33.0,54.0
1523,Ayam Opulent,660.0,54.0,39.0,23.25
1524,Ayam Disiram dengan Kuah Jamur Krim,660.0,15.0,62.0,10.5
1525,Labu Kuning dan Quiche Mozzarella dengan Thyme Segar,660.0,20.0,49.0,34.75
1526,Yassa Au Poulet,660.0,44.0,47.0,15.25
1527,Stew Domba dengan Bayam dan Kacang Garbanzo,660.0,34.0,44.0,32.0
1528,Pasta Udang dengan Saus Tomat Pedas,660.0,29.0,27.0,75.25
1529,Ditalini dengan Buncis dan Minyak Bawang Putih-Rosemary,660.0,21.0,23.0,92.25
1530,Daging Domba dengan Saus Kacang Pedas,660.0,24.0,56.0,15.0
1531,Kari Daging Sapi Pedas,660.0,33.0,53.0,12.75
1532,Pai Apel Piring dalam dengan Kerak Cheddar,659.0,11.0,28.0,90.75
1533,Risotto Sayuran Musim Semi dengan Telur Rebus,659.0,28.0,20.0,91.75
1534,"Spaghetti dengan Tuna, Tomat, Caper, dan Kemangi",659.0,31.0,25.0,77.5
1535,Risotto Quinoa Udang dan Jamur,659.0,47.0,33.0,43.5
1536,Dada Ayam dengan Saus Kucai dan Mustard,659.0,51.0,39.0,26.0
1537,Rebusan Kacang Portugis (Feijao A Portuguesa),658.0,29.0,49.0,25.25
1538,Ikan Todak Panggang dengan Chutney Pisang Nanas,658.0,47.0,35.0,38.75
1539,Burger Ayam Herba Lemon dengan Saus Pulau Seribu,658.0,31.0,45.0,32.25
1540,Pancake Keripik Coklat Jeruk,658.0,13.0,32.0,79.5
1541,Stew Daging Sapi Bawang Putih,658.0,29.0,36.0,54.5
1542,Jamur Liar dan Lasagna Tiga Keju,658.0,35.0,49.0,19.25
1543,Stew Domba dan Kacang Kuning,657.0,19.0,58.0,14.75
1544,Kue Keju Kelapa dengan Glasir Markisa,657.0,10.0,42.0,59.75
1545,Swiss Chard dan Herb Tart,656.0,23.0,49.0,30.75
1546,Salad Ayam Panggang dengan Sayuran Hijau dan Saus Balsamic,656.0,38.0,50.0,13.5
1547,Pasta dengan Butternut Squash dan Sage,656.0,26.0,16.0,102.0
1548,Cabai Ancho Isi Tuna dan Kentang,656.0,24.0,32.0,68.0
1549,Casserole Burrito Kacang,656.0,27.0,24.0,83.0
1550,Salmon Panggang Madu dengan Mâche,655.0,25.0,35.0,60.0
1551,Pancake Terbalik Pir dan Vanila,655.0,13.0,29.0,85.5
1552,Angel-Hair Pasta With Sauteed Squid,655.0,73.0,24.0,36.75
1553,Gnudi Ricotta dengan Jamur Liar dan Saus Truffle,655.0,40.0,37.0,40.5
1554,Surf 'N' Turf dengan Saus Ketumbar-Jeruk Nipis,655.0,37.0,44.0,27.75
1555,Petatou De Chère Fraise Au Thyme et Zaitun Nicoises,655.0,16.0,49.0,37.5
1556,"Tumis Kacang Fava Segar, Bawang Bombai, dan Adas",654.0,28.0,27.0,74.75
1557,Pasta dengan Ikan Todak dan Saus Tomat Ceri,654.0,37.0,23.0,74.75
1558,"Tart Daun Bawang, Adas, dan Biji Poppy",654.0,13.0,45.0,49.25
1559,Ratatouille Panggang dengan Custard Keju,653.0,21.0,42.0,47.75
1560,Salad Ayam Salsa,653.0,32.0,52.0,14.25
1561,Osso Buco Milan,653.0,74.0,25.0,33.0
1562,Ayam Kari,653.0,55.0,35.0,29.5
1563,Ikan asin pepetek goreng,652.0,40.4,54.3,0.0
1564,Souffle Keju Gruyère dan Parmesan,651.0,40.0,47.0,17.0
1565,Soupe A L'Oignon Au Fromage (Sup Bawang Perancis),651.0,31.0,29.0,66.5
1566,"Burger dengan Artichoke, Gorgonzola, dan Tomat",651.0,37.0,43.0,29.0
1567,Tortilla dengan Saus Kacang Hitam,651.0,23.0,39.0,52.0
1568,Borscht Daging Sapi Pedas dengan Krim Asam,651.0,23.0,55.0,16.0
1569,Ayam Lemon-Rhubarb,651.0,41.0,36.0,40.75
1570,Souffle Ubi Jalar dan Gruyère,651.0,28.0,25.0,78.5
1571,"Tumis Daging Sapi, Jamur, dan Brokoli",650.0,38.0,40.0,34.5
1572,Udang Panggang dan Sayuran dengan Couscous Mutiara,650.0,36.0,30.0,59.0
1573,Quesadillas Cheddar Ayam dengan Salsa Tomat dan Jagung,649.0,29.0,43.0,36.5
1574,Irisan Steak dengan Salsa Jagung Panggang,649.0,50.0,40.0,22.25
1575,Ayam Saus Kelapa Pedas,649.0,35.0,52.0,10.25
1576,Puding Nasi dengan Krim Sherry,649.0,15.0,12.0,120.25
1577,Ayam dengan Saus Cuka Tarragon,649.0,59.0,37.0,20.0
1578,Hoppin' John Risotto,649.0,16.0,29.0,81.0
1579,"Sisi Salmon yang Dioles Rosemary dengan Kentang Panggang, Parsnip, dan Jamur",648.0,46.0,39.0,28.25
1580,Dada Bebek Magret Panggang dengan Truffle Hitam Serut,648.0,70.0,31.0,22.25
1581,Spaghetti dengan Saus Zaitun Ikan Teri,648.0,20.0,24.0,88.0
1582,Ayam Provencal Rebus dengan Butternut Squash dan Kacang Putih,647.0,43.0,46.0,15.25
1583,Kielbasa dengan Bawang Keemasan dan Apel,647.0,21.0,54.0,19.25
1584,Tart Krim Selai Kacang,647.0,10.0,55.0,28.0
1585,Kue Es Krim Tiramisu,647.0,11.0,41.0,58.5
1586,Orecchiette dengan Sosis dan Saus Cabai Merah,647.0,35.0,14.0,95.25
1587,"Tumis Turbot dengan Endive Rebus, Flan Akar Seledri, Truffle Hitam, dan Nage Bawang Putih",646.0,32.0,38.0,44.0
1588,"Sup Krim Wortel, Kacang Putih, dan Pir",646.0,27.0,24.0,80.5
1589,"Sandwich Pancetta, Mizuna, dan Tomat dengan Aïoli Bawang Putih Hijau",646.0,12.0,47.0,43.75
1590,Vinaigrette Daun Bawang dengan Keju Burrata dan Mustard,646.0,20.0,50.0,29.0
1591,Kue Camilan Selai Kacang Renyah,646.0,15.0,41.0,54.25
1592,Krim Bawang Bombai dan Adas dengan Remah Roti Berbumbu Renyah,646.0,14.0,46.0,44.0
1593,"Pizza Terong, Zaitun Hijau, dan Provolone",646.0,21.0,34.0,64.0
1594,Veal Scallopini dengan Zaitun dan Saus Tomat Kering,645.0,24.0,54.0,15.75
1595,Pasta dengan Saus Daging,645.0,32.0,26.0,70.75
1596,Crepes Nasi Daun Bawang dengan Isian Jamur dan Saus Cabai Merah,645.0,19.0,35.0,63.5
1597,Salad Daging Sapi Panggang dengan Kubis dan Lobak,645.0,22.0,52.0,22.25
1598,Bibimbap,645.0,35.0,41.0,34.0
1599,Panekuk Apel Besar,645.0,18.0,35.0,64.5
1600,Gouda dan Pizza Salad Merah,645.0,28.0,29.0,68.0
1601,Iga Pendek Tanpa Tulang yang Direbus Cabai,645.0,42.0,44.0,20.25
1602,Daging Sapi dan Kacang Polong dengan Mie Goreng,645.0,35.0,32.0,54.25
1603,Bourguignonne Hati Sapi,645.0,22.0,55.0,15.5
1604,Pasta Ikan Teri dengan Remah Roti Bawang Putih,644.0,22.0,24.0,85.0
1605,Salad Ayam Tropis,644.0,41.0,40.0,30.0
1606,Salad Udang Rempah Thailand dengan Sayuran Asia dan Saus Pesto,644.0,21.0,53.0,20.75
1607,Ayam Panggang dengan Glasir Asam-Jeruk,644.0,10.0,48.0,43.0
1608,"Fusilli dengan Tomat, dan Kemangi",644.0,21.0,21.0,92.75
1609,Daging Sapi Panggang dan Selada Air Dibungkus dengan Mayones Ikan Teri Rosemary,644.0,29.0,47.0,26.25
1610,Sandwich Salad Telur Terbaik,643.0,22.0,48.0,30.75
1611,Steak Panggang dengan Saus Cabai Merah,642.0,41.0,47.0,13.75
1612,Sayuran Labu Butternut,642.0,15.0,52.0,28.5
1613,Pai Krim Pisang dengan Karamel Bourbon Asin,642.0,12.0,38.0,63.0
1614,Spaghetti dengan Peterseli Pesto,642.0,17.0,37.0,60.25
1615,"Terong Bawang Putih, Tomat dan Kemangi Bobolis",642.0,27.0,26.0,75.0
1616,Wafel Biji Lemon-Poppy dengan Saus Blueberry,642.0,14.0,18.0,106.0
1617,Ayam Jeruk Cina,642.0,27.0,44.0,34.5
1618,Salad Kentang Super,641.0,19.0,38.0,55.75
1619,"Yogurt dengan Granola, Buah Tropis, dan Kristal Jahe",641.0,23.0,24.0,83.25
1620,Pangsit Ricotta dan Mozzarella Goreng dengan Saus Brokoli,641.0,24.0,44.0,37.25
1621,"Pasta dengan Kacang Polong, Ricotta Salata, dan Lemon",641.0,25.0,26.0,76.75
1622,Daging Sapi Panggang Panggang dan Sandwich Stilton,641.0,39.0,37.0,38.0
1623,Salad Mie Beras Kelapa-Mangga,641.0,12.0,44.0,49.25
1624,"Fontina, Jagung dan Jalapeño Quesadillas",640.0,24.0,35.0,57.25
1625,Route 66 Chili,640.0,34.0,45.0,24.75
1626,Halibut Panggang dan Buncis dengan Saus Ketumbar Asia,640.0,48.0,43.0,15.25
1627,Flan Labu dengan Meringue,640.0,12.0,25.0,91.75
1628,"Iga ""Panggang"" Cina-Hawaii",640.0,45.0,37.0,31.75
1629,Kue Kepiting dengan Mayones Cabai Merah,640.0,21.0,33.0,64.75
1630,Kerang dengan Garam Masala,640.0,57.0,32.0,31.0
1631,Lasagna Domba dan Terong ala Yunani,639.0,26.0,47.0,28.0
1632,Pan Bagnat,639.0,35.0,28.0,61.75
1633,Strozzapreti dengan Bayam dan Lemon yang Diawetkan,639.0,14.0,32.0,73.75
1634,Salmon Panggang dengan Chutney Kurma Apel,638.0,35.0,41.0,32.25
1635,Salad Caesar Keju Biru,638.0,22.0,52.0,20.5
1636,Gorgonzola dan Leek Crème Brûlée,638.0,13.0,50.0,34.0
1637,Dada Ayam Berkulit Jagung,637.0,60.0,27.0,38.5
1638,Pasta Kerang Isi Bayam dan Keju,637.0,32.0,18.0,86.75
1639,Pear Charlottes dengan Chamomile Crème Anglaise,637.0,14.0,16.0,109.25
1640,Makaroni dan Keju Carbonara,637.0,31.0,38.0,42.75
1641,"Orecchiette dengan Kubis Savoy, Kacang Polong, dan Krim Lemon",636.0,20.0,19.0,96.25
1642,Kerang dengan Pernod dan Krim,636.0,56.0,20.0,58.0
1643,Couscous Ayam Berbumbu dengan Bawang Kayu Manis,636.0,18.0,24.0,87.0
1644,"Orzo Panggang dengan Udang, Saus Tomat, dan Feta",636.0,37.0,24.0,68.0
1645,"Paillard Ayam dengan Tomat, Kemangi, dan Jagung Panggang",636.0,72.0,29.0,21.75
1646,Bakso Daging Sapi dengan Sayuran Rebus,636.0,31.0,41.0,35.75
1647,Croque Madame dengan Acar Cranberry-Mustard,636.0,33.0,44.0,27.0
1648,Pai Pisang Picadillo dengan Keju,636.0,27.0,34.0,55.5
1649,Pappardelle dalam Saus Krim Lemon dengan Asparagus dan Salmon Asap,635.0,19.0,19.0,97.0
1650,Tumis Daging Sapi Pedas dan Ubi Jalar,635.0,30.0,33.0,54.5
1651,French Toast Fingers dengan Selai Cokelat Hazelnut dan Blueberry,635.0,14.0,30.0,77.25
1652,"Cokelat Panas dengan Espresso, Lemon, dan Adas Manis",635.0,12.0,27.0,86.0
1653,Daging Sapi Panggang dengan Saus Jamur Liar dan Kentang Tumbuk Bawang Merah Karamel,635.0,38.0,48.0,12.75
1654,Penne dengan Pancetta dan Saus Krim Tomat,635.0,20.0,19.0,96.0
1655,Salmon Panggang dengan Glasir Hoisin dan Kenikmatan Plum-Jahe,635.0,49.0,40.0,19.75
1656,Fusilli ala Thailand dengan Terong dan Shiitake,634.0,17.0,28.0,78.5
1657,Kakap Merah Dipanggang dengan Adas dan Remah Roti,634.0,66.0,19.0,49.75
1658,Rigatoni dengan Udang dalam Saus Tomat dan Feta,634.0,33.0,24.0,71.5
1659,"Halibut Panggang dengan Orzo, Bayam, dan Tomat Ceri",634.0,44.0,31.0,44.75
1660,Sosis Ayam dengan Kubis dan Bawang,633.0,27.0,49.0,21.0
1661,Pasta Rags dengan Seribu Herbal,633.0,19.0,22.0,89.75
1662,Sup Bawang dan Barley dengan Flan Keju Swiss,633.0,21.0,49.0,27.0
