,Food,Carbohydrates,Protein,Fats,Energy,Category
703,Fusilli dengan Lentil dan Sosis,67.5,26.0,21.0,563.0,Pasta
704,"Bawang Putih Karamel, Bayam, dan Tart Cheddar",18.5,23.0,44.0,562.0,Makanan penutup
705,Burger Domba dalam Pita dengan Saus Yogurt,43.25,32.0,29.0,562.0,Sandwich
706,Vichyssoise,29.5,12.0,44.0,562.0,Masakan Barat
707,Sup Kari Ayam dengan Kelapa dan Jeruk Nipis,18.5,59.0,28.0,562.0,Masakan Asia
708,Kue Pir dan Almond Kecil,58.5,10.0,32.0,562.0,Makanan penutup
709,Burrito Kacang Hitam Chipotle,56.0,19.0,29.0,561.0,Masakan Barat
710,Salmon dengan Salsa Nanas dan Saus Chili Pedas,13.0,35.0,41.0,561.0,Lauk
711,"Tagliatelle dengan Chestnut, Pancetta, dan Sage",71.5,17.0,23.0,561.0,Pasta
712,Rebusan Makanan Laut Cioppino dengan Roti Bakar Gremolata,48.5,49.0,19.0,561.0,Sandwich
713,"Spaghetti dengan Tomat Manis, Daun Bawang Putih, dan Kemangi Lemon",90.25,16.0,15.0,560.0,Pasta
714,Sup Kerang dan Ikan Cod,33.75,59.0,21.0,560.0,Masakan Barat
715,Puyuh dengan Jus Delima,10.5,44.0,38.0,560.0,Lauk
716,Kacang merah dan nasi,57.75,26.0,25.0,560.0,Karbohidrat
717,"Tagliatelle dengan Bit Parut, Krim Asam, dan Peterseli",76.5,14.0,22.0,560.0,Pasta
718,Sup Sayur Ayam dengan Jeruk Nipis dan Ketumbar,40.75,36.0,28.0,559.0,Lauk
719,Sup Salmon dan Dill,30.25,33.0,34.0,559.0,Masakan Barat
720,Rebusan Sayuran Italia,62.5,21.0,25.0,559.0,Sayur
721,Sup Kacang Putih dengan Bebek Confit,61.0,27.0,23.0,559.0,Masakan Barat
722,"Salad Cincang dengan Ayam, Couscous, dan Sayuran",35.0,17.0,39.0,559.0,Salad
723,Moules Au Beurre D'Escargots,25.75,42.0,32.0,559.0,Masakan Barat
724,Kerang Hangat dan Salad Sayuran Yang Diasinkan,18.75,42.0,35.0,558.0,Salad
725,Lasagna Anderson Daging Sapi dan Sayuran Panggang,20.75,31.0,39.0,558.0,Pasta
726,"Fricassée Ayam, Jamur, dan Daun Bawang",14.75,73.0,23.0,558.0,Lauk
727,Tahu Goreng dengan Saus Karamel Asia,31.5,18.0,40.0,558.0,Lauk
728,Pancake Kentang Daun Bawang dan Sandwich Salmon Asap,42.0,21.0,34.0,558.0,Sandwich
729,Penne dalam Saus Krim dengan Sosis,57.75,30.0,23.0,558.0,Pasta
730,Uku Laulau Kukus dengan Saus Jahe-Daun Bawang,12.0,44.0,37.0,557.0,Masakan Barat
731,Pasta Brokoli Rabe dengan Bawang Putih Keemasan,64.75,16.0,26.0,557.0,Pasta
732,Rotelle dengan Saus Jamur,93.5,21.0,11.0,557.0,Pasta
733,Risotto dengan Penguntit Ayam dan Bit Hijau,69.75,29.0,18.0,557.0,Masakan Barat
734,Fettucine dengan Paprika Kuning (Fettucine Ai Peperoni Gialli),50.0,15.0,33.0,557.0,Pasta
735,Meatloaf Sosis dan Paprika,19.25,30.0,40.0,557.0,Lauk
736,"Farfalle dengan Butternut Squash, Jamur dan Bayam",83.0,20.0,16.0,556.0,Pasta
737,Pasta dengan Zaitun Kalamata dan Saus Tomat Ceri Panggang,65.75,17.0,25.0,556.0,Pasta
738,"Kentang, Sosis Italia, dan Salad Arugula",23.5,21.0,42.0,556.0,Salad
739,Pot Roast dengan Sayuran Akar Musim Dingin,36.75,55.0,21.0,556.0,Masakan Barat
740,"Sandwich ""Steak"" Portobello dengan Mentega Gorgonzola dan Vinaigrette Lada Merah",29.0,13.0,43.0,555.0,Sandwich
741,Burger Kepiting Wajah Terbuka dengan Saus Cabai Merah,60.5,22.0,25.0,555.0,Sandwich
742,"Salmon dengan Endive, Dill, dan Krim",12.0,39.0,39.0,555.0,Lauk
743,Granola Almond-Kismis,73.0,14.0,23.0,555.0,Makanan penutup
744,"Sandwich Sosis Portugis dengan Paprika, Bawang, dan Zaitun",23.75,16.0,44.0,555.0,Sandwich
745,Risotto dengan Kangkung Tuscan dan Biji Labu Panggang,80.5,20.0,17.0,555.0,Masakan Barat
746,Hot Browns,24.25,29.0,38.0,555.0,Sandwich
747,Tartine Sarden Panggang dengan Bawang dan Arugula,32.5,50.0,25.0,555.0,Lauk
748,Kue Mie Renyah dengan Udang dan Kacang Polong,56.75,21.0,27.0,554.0,Masakan Barat
749,Risotto Kembang Kol dengan Brie dan Almond,65.5,19.0,24.0,554.0,Masakan Barat
750,Burger Domba Ala Turki dengan Saus Walnut,27.0,26.0,38.0,554.0,Sandwich
751,Ayam Kari Cina,20.5,55.0,28.0,554.0,Lauk
752,Taglierini dengan Kerang Karamel dan Rosemary Beurre Blanc,51.0,22.0,29.0,553.0,Pasta
753,Ikan Trout Tumis dengan Pecan,12.5,20.0,47.0,553.0,Lauk
754,Tart Meringue Markisa,65.25,10.0,28.0,553.0,Makanan penutup
755,Kari Udang dengan Nasi,15.25,26.0,43.0,552.0,Masakan Asia
756,Pai Tortila,66.75,24.0,21.0,552.0,Masakan Barat
757,"Lasagne Poblano Meksiko, Bayam, dan Kacang Hitam dengan Keju Kambing",39.5,22.0,34.0,552.0,Pasta
758,Sayap Ayam Panggang Ala Thailand dengan Saus Asam Pedas,23.75,40.0,33.0,552.0,Lauk
759,Puding Roti dengan Saus Bourbon Hangat,27.0,12.0,44.0,552.0,Makanan penutup
760,Ayam dengan Saus Cranberry-Moster,21.0,72.0,20.0,552.0,Lauk
761,Potongan Ikan Goreng dan Kentang dengan Bawang dan Paprika Hijau,19.5,15.0,46.0,552.0,Masakan Barat
762,Chowder Seafood Manhattan,49.5,48.0,18.0,552.0,Masakan Barat
763,Sandwich Daging Kornet dan Coleslaw,61.5,18.0,26.0,552.0,Sandwich
764,Tortelloni Ricotta dan Bayam dalam Saus Tomat,48.25,22.0,30.0,551.0,Pasta
765,Sosis Panggang,57.25,22.0,26.0,551.0,Lauk
766,"Scalloped Kentang dengan Adas, Jamur, dan Keju Kambing",49.75,25.0,28.0,551.0,Masakan Barat
767,Ayam dan Kentang Tumbuk dengan Tomat Panggang Herba dan Kaldu Zaitun,11.25,41.0,38.0,551.0,Masakan Barat
768,"Kue Risotto Sage, Bawang, dan Nasi Liar",69.75,14.0,24.0,551.0,Masakan Barat
769,Linguine dengan Salmon dan Jamur,51.25,28.0,26.0,551.0,Pasta
770,Puding Croissant Natal dengan Krim Asam dan Saus Gula Merah,59.25,11.0,30.0,551.0,Makanan penutup
771,Ikan Cod Oven Renyah,41.0,38.0,26.0,550.0,Lauk
772,Bit Bayi Panggang dan Salad Arugula dengan Lemon Gorgonzola Vinaigrette,37.75,12.0,39.0,550.0,Salad
773,Crepes dengan Saus Karamel dan Pecan Panggang,57.0,13.0,30.0,550.0,Makanan penutup
774,Sayuran Panggang Ala Spanyol dengan Breadcrumb Picada,53.5,12.0,32.0,550.0,Sayur
775,Zucchini Panggang dan Fattoush Paprika,28.5,10.0,44.0,550.0,Salad
776,Kue Kucai dengan Jagung Asap dan Rebusan Okra,54.75,22.0,27.0,550.0,Makanan penutup
777,Sup Ayam dengan Jamur Liar dan Bola Matzo Herbed,13.75,36.0,39.0,550.0,Masakan Barat
778,Sandwich Salad Tuna dan Zaitun,43.75,33.0,27.0,550.0,Sandwich
779,Lelehan Patty dengan Bawang Bakar,14.25,42.0,36.0,549.0,Lauk
780,Kue Kepiting dengan Saus Caper Krim,23.25,15.0,44.0,549.0,Masakan Barat
781,Kue Sauerkraut Goreng dengan Kielbasa,10.5,30.0,43.0,549.0,Masakan Barat
782,Roti Mini Walnut,77.0,13.0,21.0,549.0,Masakan Barat
783,"Pizza Panggang dengan Tomat, Jagung dan Keju",71.5,23.0,19.0,549.0,Masakan Barat
784,Kue Wajan Walnut dengan Mentega Jeruk,43.25,13.0,36.0,549.0,Makanan penutup
785,Ayam Lemon Maroko,27.75,44.0,29.0,548.0,Masakan Timur Tengah
786,"Pasta dengan Daging Sapi Muda, Sosis, dan Ragù Porcini",69.75,29.0,17.0,548.0,Pasta
787,Sup Udang dan Jagung,41.0,15.0,36.0,548.0,Masakan Barat
788,Tri-Tip Panggang dengan Bumbu Tequila dan Kenikmatan Tomat Ceri,10.25,48.0,35.0,548.0,Lauk
789,Penne Alla Gorgonzola,59.0,24.0,24.0,548.0,Pasta
790,Fillet Makarel Berlapis Kecap Asin-Maple dengan Alpukat,35.5,45.0,25.0,547.0,Lauk
791,Casserole Mie Bayam,44.75,20.0,32.0,547.0,Masakan Barat
792,Taco Ikan Bakar,38.25,22.0,34.0,547.0,Masakan Barat
793,Sandwich Kielbasa Panggang,37.75,18.0,36.0,547.0,Sandwich
794,Tagine Ikan Maroko dengan Paprika dan Zaitun,24.5,38.0,33.0,547.0,Masakan Timur Tengah
795,Pai Beras Italia (Pastiera Di Riso),60.5,13.0,28.0,546.0,Masakan Barat
796,Steak Panfried dengan Saus Barbekyu Cepat,20.5,35.0,36.0,546.0,Lauk
797,"Nasi Hitam Cina, Jeruk, dan Salad Alpukat",91.0,14.0,14.0,546.0,Salad
798,Steak Campur Paprika dengan Bawang,12.75,36.0,39.0,546.0,Lauk
799,Tuna Bakar dengan Saus Kelapa Wasabi dan Pilaf Nasi Lada Panggang,102.0,12.0,10.0,546.0,Masakan Barat
800,Linguine Avgolemono dengan Jantung Artichoke dan Kacang Hijau,77.75,25.0,15.0,546.0,Pasta
801,Vegetable Rundown,61.5,12.0,28.0,546.0,Masakan Barat
802,Stew Domba dengan Daun Bawang dan Artichoke Muda,21.75,65.0,22.0,545.0,Masakan Barat
803,Sup Goulash,28.75,40.0,30.0,545.0,Masakan Barat
804,Terong Isi Sosis Jambalaya,67.0,22.0,21.0,545.0,Masakan Barat
805,"Pizza Panggang dengan Pir, Pecorino Segar, dan Kenari",10.25,27.0,44.0,545.0,Masakan Barat
806,"Mie Udon dengan Udang, Kacang Polong, dan Kacang Tanah",63.25,28.0,20.0,545.0,Masakan Asia
807,"Orzo dengan Labu Kuning, Jamur, dan Kacang Pinus",72.0,17.0,21.0,545.0,Pasta
808,Rigatoni dengan Pesto Lemon-Chili dan Telur Parut,64.75,13.0,26.0,545.0,Pasta
809,"Keju Kambing, Ubi Jalar, dan Omelet Crouton",42.75,26.0,30.0,545.0,Masakan Barat
810,Kepingan Granola Maple,53.0,11.0,32.0,544.0,Makanan ringan
811,Bass Bergaris dengan Sayuran Kunyit dan Rabe Brokoli Berbumbu,24.0,40.0,32.0,544.0,Lauk
812,Pasta Sayuran Hijau dan Keju Kambing,80.25,22.0,15.0,544.0,Pasta
813,Risotto Kreol Udang,66.0,16.0,24.0,544.0,Masakan Barat
814,Paha Ayam Panggang Ala Cina,11.5,39.0,38.0,544.0,Lauk
815,Roti Datar Koboi dengan Salad Arugula dan Saus Lemon-Pepper,55.25,11.0,31.0,544.0,Salad
816,Terong Cina Isi Goreng,34.25,25.0,34.0,543.0,Masakan Asia
817,"Nacho Daging Sapi, Kacang Hitam, dan Jagung",35.0,31.0,31.0,543.0,Masakan Asia
818,Potpie Bourguignonne Daging Sapi,26.25,33.0,34.0,543.0,Masakan Barat
819,Burger Keju Dioles Kopi dengan Saus Barbekyu Texas,24.75,39.0,32.0,543.0,Masakan Barat
820,Puding Roti Custard Apel dan Ceri Kering,67.25,10.0,26.0,543.0,Makanan penutup
821,"Burrata, Tomat Jepang, Panzanella, Arugula Liar",13.0,17.0,47.0,543.0,Masakan Barat
822,Salad Nasi Basmati dengan Kismis dan Kacang,58.25,10.0,30.0,543.0,Salad
823,Lo Mein dengan Daging Sapi,50.25,36.0,22.0,543.0,Masakan Asia
824,Chilaquiles,78.5,19.0,17.0,543.0,Masakan Barat
825,Stroganoff Jamur,79.75,20.0,16.0,543.0,Masakan Barat
826,Gratin Kentang dan Seledri dengan Haddock Asap,40.0,17.0,35.0,543.0,Masakan Barat
827,Campur-campur Seafood Panggang dengan Saus Paprika-Lemon,11.0,75.0,22.0,542.0,Lauk
828,Hash Ubi,41.0,18.0,34.0,542.0,Masakan Barat
829,Torte Kenari-Blackberry dengan Krim Mentega Mocha,43.5,11.0,36.0,542.0,Makanan penutup
830,Keripik tempe,11.5,40.3,42.4,542.0,Makanan ringan
831,Tagliatelle dengan Pesto Jagung Segar,55.0,15.0,29.0,541.0,Pasta
832,Kari Ayam Thailand,27.5,20.0,39.0,541.0,Masakan Asia
833,Trippa Alla Romana,21.5,44.0,31.0,541.0,Masakan Barat
834,Kerang dalam Saus Lada Hijau,30.5,55.0,22.0,540.0,Lauk
835,"Sate Ayam, Udang dan Daging Sapi dengan Saus Kacang",24.25,41.0,31.0,540.0,Lauk
836,Sosis Panggang dengan Saus Porcini Tomat Chunky,10.0,26.0,44.0,540.0,Lauk
837,Kerang dengan Kari Merah Thailand,11.75,31.0,41.0,540.0,Lauk
838,Salmon Balut Horseradish dengan Saus Bit,12.25,44.0,35.0,540.0,Lauk
839,Timballos Keju Polenta dengan Telur dan Bayam,25.75,26.0,37.0,540.0,Masakan Barat
840,Pancake Mie Renyah,61.25,13.0,27.0,540.0,Masakan Barat
841,Ikan Lele Goreng dengan Salad Arugula-Jeruk,33.5,25.0,34.0,540.0,Salad
842,Linguine Alla Carbonara,53.5,23.0,26.0,540.0,Pasta
843,"Bit Panggang dan Wortel dengan Cumin Vinaigrette, Chickpea Puree, dan Roti Pipih",44.0,10.0,36.0,540.0,Masakan Timur Tengah
844,"Orzo dengan Bit, Zaitun, Feta, dan Telur Rebus",64.25,21.0,22.0,539.0,Pasta
845,Mie Beras Asia Tenggara dengan Cumi dan Rempah-rempah,60.0,23.0,23.0,539.0,Masakan Asia
846,Burger Domba Kari dengan Sayuran Panggang dan Mint Raita,13.25,27.0,42.0,539.0,Sandwich
847,Salad Labu Hangat dengan Polenta dan Manisan Biji Labu,43.75,19.0,32.0,539.0,Salad
848,Mac dan Keju Southern,40.0,25.0,31.0,539.0,Masakan Barat
849,Gnocchi Ubi Jalar dengan Mentega Coklat dan Sage,54.75,17.0,28.0,539.0,Pasta
850,Pasta dengan Kacang dan Daging Sapi,71.5,34.0,13.0,539.0,Pasta
851,"Linguine Kepiting dengan Basil, Lemon & Chili",66.5,23.0,20.0,538.0,Pasta
852,"Zucchini, Tomat Kering, dan Tart Mozarella",32.0,17.0,38.0,538.0,Masakan Barat
853,Hash Confit Bebek,32.75,14.0,39.0,538.0,Masakan Barat
854,"Kentang Tumbuk Bawang Putih, Cheddar Putih, dan Chipotle",54.25,15.0,29.0,538.0,Masakan Barat
855,"Pasta dengan Lobster, Tomat, dan ""Herbes De Maquis""",64.5,43.0,12.0,538.0,Pasta
856,Tumis Lobak dan Parsnip dengan Rosemary,92.0,11.0,14.0,538.0,Sayur
857,Tart Kacang Hitam dengan Kerak Cabai,38.5,15.0,36.0,538.0,Makanan penutup
858,Telur Rebus Di Atas Dasar Artichoke dengan Krim Truffle Putih dan Jamur,29.0,20.0,38.0,538.0,Lauk
859,Enchilada Sayuran Kebun,41.75,23.0,31.0,538.0,Masakan Barat
860,Burger Domba Herba,39.0,28.0,30.0,538.0,Sandwich
861,Gnocchi Lemon dengan Bayam dan Kacang Polong,91.75,20.0,10.0,537.0,Pasta
862,Bakso Saus Tomat Bawang Putih,15.0,27.0,41.0,537.0,Lauk
863,Ayam Kedelai Bawang Putih,19.0,41.0,33.0,537.0,Masakan Asia
864,Kurma Bermerek dan Pai Kenari,72.5,10.0,23.0,537.0,Makanan penutup
865,Penne Kari Thailand dengan Chutney Jahe-Tomat,53.75,22.0,26.0,537.0,Masakan Asia
866,Sosis Italia Panggang dengan Lada Hangat dan Salad Bawang,12.75,18.0,46.0,537.0,Salad
867,Pasta dan Gratin Truffle Putih,64.0,14.0,25.0,537.0,Pasta
868,Roti dengan Labu dan Bayam,60.5,13.0,27.0,537.0,Sandwich
869,Bocconcini Daging Sapi dengan Porcini dan Rosemary,23.25,41.0,31.0,536.0,Lauk
870,Strata Keju Arizona,40.0,31.0,28.0,536.0,Masakan Barat
871,"Orzo dengan Tomat, Feta, dan Daun Bawang",53.0,18.0,28.0,536.0,Pasta
872,Risotto Barley Panggang dan Asparagus,80.25,20.0,15.0,536.0,Masakan Barat
873,Cumi Fritti dengan Saus Celup Ponzu Krim,17.0,20.0,43.0,535.0,Lauk
874,Pitas Daging Sapi dan Bawang Berbumbu dengan Saus Peterseli,27.25,30.0,34.0,535.0,Masakan Barat
875,Paket Halibut dan Tomat Panggang,11.75,86.0,16.0,535.0,Lauk
876,Sup Wortel dengan Biji Wijen dan Daun Bawang,39.75,13.0,36.0,535.0,sayur
877,Keju Swiss Leleh dengan Sayuran,27.5,34.0,32.0,534.0,Masakan Barat
878,"Pasta dengan Tomat, Kacang Pinus, dan Kemangi",60.0,15.0,26.0,534.0,Pasta
879,Texas-Style Chili,11.75,70.0,23.0,534.0,Masakan Barat
880,Kentang Tumbuk Lobak Pedas,77.5,11.0,20.0,534.0,Masakan Barat
881,Pai Madu-Keju dengan Kompot Stroberi,51.75,12.0,31.0,534.0,Makanan penutup
882,"Salad Jagung, Tomat, dan Lobster",48.0,36.0,22.0,534.0,Salad
883,Sup Ayam Beraroma Jahe,35.75,37.0,27.0,534.0,Masakan Barat
884,"Lentil dengan Mentimun, Chard, dan Telur Rebus",62.5,35.0,16.0,534.0,Masakan Barat
885,Kacang atom,28.8,27.8,38.1,533.0,Makanan ringan
886,Pancake Jagung Segar,43.5,11.0,35.0,533.0,Makanan penutup
887,Stik Ikan Keemasan,31.0,37.0,29.0,533.0,Masakan Barat
888,Burger Berwajah Terbuka dengan Saus Keju Lobak,19.25,42.0,32.0,533.0,Sandwich
889,"Lasagna Udang, Kerang, dan Cod",30.75,35.0,30.0,533.0,Pasta
890,Flank Steak Isi Bayam dan Wortel,22.25,48.0,28.0,533.0,Lauk
891,Cobbler Roti Jagung Daging Sapi Berbumbu,38.5,34.0,27.0,533.0,Masakan Barat
892,Puding Roti Labu dengan Saus Apel Karamel Pedas,59.25,11.0,28.0,533.0,Makanan penutup
893,Polenta Panggang dengan Shiitake Ragoût,58.25,21.0,24.0,533.0,Masakan Barat
894,Telur Dadar Kentang Spanyol (Tortilla De Papa Espanola) dengan Saus Romesco,21.25,13.0,44.0,533.0,Lauk
895,Sup Krim Brokoli dengan Jamur Liar,29.75,18.0,38.0,533.0,Sayur
896,Sup Lobak Krim dengan Wortel Julienne,75.5,17.0,18.0,532.0,Masakan Barat
897,Ayam dengan Sayuran dan Pangsit Peterseli,19.0,51.0,28.0,532.0,Lauk
898,Enchilada Ayam,36.0,25.0,32.0,532.0,Lauk
899,Kari Udang dengan Yu Choy dan Labu Kabocha,30.5,17.0,38.0,532.0,Masakan Asia
900,Ikan Utuh Panggang dengan Kentang dan Lemon,39.75,48.0,20.0,531.0,Masakan Barat
901,"Spaghettini dengan Gorgonzola, Daun Bawang, dan Bawang Merah",77.5,17.0,17.0,531.0,Pasta
902,Potongan Daging Ayam Dilapisi Tepung Roti dengan Saus Sayuran Chunky,35.25,66.0,14.0,531.0,Lauk
903,Granola Ceri dan Kelapa dengan Yogurt,55.0,10.0,30.0,530.0,Minuman
904,Salmon Panggang Mustard dengan Saus Lingonberry,17.75,36.0,35.0,530.0,Lauk
905,Burger Panggang dengan Mayones Roquefort dan Bawang Merah Panggang,23.75,30.0,35.0,530.0,Sandwich
906,Kue Quinoa dan Ubi Jalar,42.5,27.0,28.0,530.0,Masakan Barat
907,Borscht Bit dan Kubis,51.75,20.0,27.0,530.0,Masakan Barat
908,"Butternut Squash, Sage, dan Ravioli Keju Kambing dengan Saus Mentega Coklat Hazelnut",65.5,13.0,24.0,530.0,Makanan penutup
909,Salad Telur Benedict,10.25,21.0,45.0,530.0,Salad
910,Ikan Bass Panggang dengan Kerak Remah Roti Walnut dan Saus Lemon-Dill,21.75,41.0,31.0,530.0,Lauk
911,Bagea kenari asin,63.6,3.2,29.1,529.0,Makanan ringan
912,"Sandwich Steak Panggang, Bawang, dan Paprika",25.0,42.0,29.0,529.0,Sandwich
913,Ayam Rebus Dingin dengan Minyak Daun Bawang Jahe,24.25,36.0,32.0,529.0,Lauk
914,Ayam Kulit Pistachio dengan Bumbu dan Saus Krim Mustard,17.75,38.0,34.0,529.0,Lauk
915,Pai Keju Manis,53.25,16.0,28.0,529.0,Makanan penutup
916,Risotto Primavera,68.25,28.0,16.0,529.0,Masakan Barat
917,Tumis Bass dengan Pesto Mint dan Wortel Berbumbu,12.25,39.0,36.0,529.0,Lauk
918,Tart Keju Kambing Asparagus dengan Tarragon,34.25,19.0,35.0,528.0,Makanan penutup
919,Kentang Panggang Oven Pedas,89.5,11.0,14.0,528.0,Masakan Barat
920,Meatloaf Sayur Panggang dengan Kentang Tumbuk Mustard,31.0,47.0,24.0,528.0,Lauk
921,Kakap Merah Panggang dengan Saus Tomat Beraroma Adas,25.5,66.0,18.0,528.0,Lauk
922,Strata Sosis dan Keju dengan Tomat Kering,36.5,28.0,30.0,528.0,Masakan Barat
923,Kue Mousse Mangga-Jeruk,66.0,12.0,24.0,528.0,Makanan penutup
924,Salad Nasi Merah dengan Kecambah dan Biji Renyah,50.25,23.0,26.0,527.0,Salad
925,Agnolotti dengan Kacang Manis dan Keju Kambing,43.5,14.0,33.0,527.0,Masakan Barat
926,Puding Roti Gandum Utuh Apel dan Kenari,82.25,18.0,14.0,527.0,Makanan penutup
927,Kale Minestrone dengan Pistou,59.25,23.0,22.0,527.0,Sayur
928,Orzo Panggang Lemon Dill dengan Gruyère,65.75,21.0,20.0,527.0,Pasta
929,Salad Ikan Hering dan Coleslaw Bit Panggang,38.5,28.0,29.0,527.0,Salad
930,"Spaghetti Gandum Utuh dengan Brokoli, Buncis, dan Bawang Putih",71.25,20.0,18.0,527.0,Pasta
931,Acorn Squash ,80.5,13.0,17.0,527.0,Masakan Barat
932,Salmon Gula Merah-Chipotle dengan Glasir Madu-Berry,16.25,41.0,33.0,526.0,Lauk
933,Mangkuk Ubi Jalar dan Ayam Pedas a la Meksiko,41.75,29.0,27.0,526.0,Masakan Barat
934,Sup Lentil dengan Domba dan Mint,49.5,28.0,24.0,526.0,Masakan Barat
935,Kugel Mie,59.0,14.0,26.0,526.0,Masakan Barat
936,"Tomat Ceri, Ricotta, dan Galette Zaitun",52.5,16.0,28.0,526.0,Makanan penutup
937,Mangkuk Spaghetti Squash a la Vietnam dengan Skirt Steak,26.0,29.0,34.0,526.0,Masakan Asia
938,Ayam dengan Saus Jamur Krim,22.75,59.0,22.0,525.0,Lauk
939,Strudel Salmon dan Bayam,15.0,33.0,37.0,525.0,Masakan Barat
940,"Rigatoni dengan Paprika Merah, Jamur Liar, dan Fontina",77.5,20.0,15.0,525.0,Pasta
941,"Salmon dengan Remah Roti, Zaitun, dan Kerak Tomat",25.5,36.0,31.0,525.0,Lauk
942,Roti Daging Herba Jamur Eich,16.0,41.0,33.0,525.0,Masakan Barat
943,Couscous Israel dengan Labu Panggang dan Awetan Lemon,84.5,13.0,15.0,525.0,Masakan Barat
944,Enting-enting kacang tanah,52.0,13.3,29.2,524.0,Jajanan
945,"Fettuccine dengan Salmon Asap, Keju Kambing, Daun Bawang, dan Zucchini",63.75,20.0,21.0,524.0,Pasta
946,Mac dan Keju Wortel,28.0,22.0,36.0,524.0,Masakan Barat
947,Ayam Cornish dengan Kubis Jintan,55.75,28.0,21.0,524.0,Masakan Barat
948,Mie Goreng dengan Kari Domba Singapura,53.5,19.0,26.0,524.0,Masakan Asia
949,Fyrstekake Keluarga Yarnall (Tart Kapulaga-Almond Norwegia),53.25,10.0,30.0,523.0,Masakan Barat
950,Bagea kenari manis,64.2,3.2,28.2,523.0,Makanan ringan
951,Sup Kerang Cepat,67.75,27.0,16.0,523.0,Masakan Barat
952,Salad Gandum Campuran dengan Buah Kering,73.25,10.0,21.0,522.0,Salad
953,"Tart Phyllo Bayam, Feta, dan Kacang Pinus",15.75,18.0,43.0,522.0,Masakan Barat
954,Fillet Ikan Cod Hitam Direbus dalam Kaldu Lima Bumbu dengan Baby Bok Choy dan Udon,50.5,44.0,16.0,522.0,Masakan Barat
955,Sup Kacang Hitam dengan Salsa Ketumbar-Tomat,64.5,30.0,16.0,522.0,Sayur
956,Kari Ayam Sederhana,30.75,39.0,27.0,522.0,Masakan Asia
957,Pizza Tortila Santa Fe,45.75,33.0,23.0,522.0,Masakan Barat
958,Sup Cabai Merah Dingin dengan Basil dan Crouton,63.75,15.0,23.0,522.0,Masakan Barat
959,Quiche Tanpa Kulit,13.5,29.0,39.0,521.0,Masakan Barat
960,Nasi Hijau dan Kacang Hitam,59.25,26.0,20.0,521.0,Karbohidrat
961,Kacang kedelai goreng,22.9,32.2,37.7,521.0,Makanan ringan
962,Sayap Ayam dengan Glasir Kari-Yogurt,12.0,44.0,33.0,521.0,Masakan Asia
963,Ziti dengan Kielbasa dan Sauerkraut,49.5,20.0,27.0,521.0,Masakan Barat
964,Strozzapreti dengan Jamur dan Ricotta,71.0,21.0,17.0,521.0,Pasta
965,Salmon Cannelloni dengan Saus Krim Lemon,13.25,36.0,36.0,521.0,Lauk
966,Pasta dengan Herbed Ricotta dan Mentega Coklat Kacang Pinus,61.75,21.0,21.0,520.0,Pasta
967,Telur Goreng Minyak Zaitun dengan Mozzarella dan Harissa,22.25,20.0,39.0,520.0,Lauk
968,Ceri dalam Sirup Almond Di Atas Yogurt Yunani,42.5,29.0,26.0,520.0,Minuman
969,Quesadillas Bawang Manis,62.75,20.0,21.0,520.0,Masakan Barat
970,Sup Jagung yang Lezat,38.25,13.0,35.0,520.0,Masakan Barat
971,Paprika Daging Sapi,12.5,32.0,38.0,520.0,Masakan Barat
972,Ayam Rebus dengan Paprika Hijau dan Tomat,14.5,30.0,38.0,520.0,Masakan Asia
973,Jambalaya Louisiana,54.25,17.0,26.0,519.0,Masakan Barat
974,Stew Nelayan Portugis,18.25,53.0,26.0,519.0,Masakan Barat
975,Kerang Kukus dengan Saus Kari Thailand,12.25,32.0,38.0,519.0,Lauk
976,"Gratin Kacang Putih, Tomat, dan Zucchini",69.5,22.0,17.0,519.0,Masakan Barat
977,Mie Asia dengan Confit Bebek Panggang,59.5,14.0,25.0,519.0,Masakan Asia
978,Sarden Panggang dengan Selada Wortel-Adas,21.5,61.0,21.0,519.0,Lauk
979,Gulungan Lasagna Labu Butternut,31.5,33.0,29.0,519.0,Makanan penutup
980,Salad Tiga Kacang dengan Saus Cabai Ketumbar,57.0,21.0,23.0,519.0,Salad
981,Pancake Walnut Buttermilk Panggang dengan Sirup Maple Cranberry,88.0,10.0,14.0,518.0,Masakan Barat
982,Bakso Asia dengan Saus Celup Jeruk Nipis Wijen,13.5,35.0,36.0,518.0,Masakan Asia
983,"Kacang Fava, Kacang Polong, dan Rebusan Artichoke",48.0,23.0,26.0,518.0,Sayur
984,Pot Roast a la New Mexico,42.75,53.0,15.0,518.0,Masakan Barat
985,"Ikan Bass Laut dengan Daun Bawang, Kentang, dan Vinaigrette Balsamic",42.0,38.0,22.0,518.0,Lauk
986,Ikan Bass Laut dengan Fettuccine Lemon Caper,45.5,39.0,20.0,518.0,Lauk
987,Polenta Lembut dengan Daun Bawang,77.25,14.0,17.0,518.0,Masakan Barat
988,Nasi dengan Bayam dan Keju Feta,61.75,16.0,23.0,518.0,Masakan Barat
989,Gravlaks dengan Saus Mustard Manis,15.75,46.0,30.0,517.0,Masakan Barat
990,Bawang Isi Thanksgiving,64.25,29.0,16.0,517.0,Sayur
991,Pasta Verde Salmon Asap,84.5,20.0,11.0,517.0,Pasta
992,Sup Salmon dan Sayur,30.75,31.0,30.0,517.0,Masakan Barat
