Name,Calories,Fat_g,Carbs_g,Protein_g,Serving_Size_g
Sandwich Ayam Lemon dan Lada Panggang,563.0,16.4,38.2,44.0,100.0
Fusilli dengan Lentil dan Sosis,563.0,6.5,67.5,26.0,100.0
"Bawang Putih Karamel, Bayam, dan Tart Cheddar",562.0,9.2,18.5,23.0,100.0
Burger Domba dalam Pita dengan Saus Yogurt,562.0,10.2,43.2,32.0,100.0
Vichyssoise,562.0,10.8,29.5,12.0,100.0
Sup Kari Ayam dengan Kelapa dan Jeruk Nipis,562.0,4.3,18.5,59.0,100.0
Kue Pir dan Almond Kecil,562.0,16.8,58.5,10.0,100.0
Burrito Kacang Hitam Chipotle,561.0,8.5,56.0,19.0,100.0
Salmon dengan Salsa Nanas dan Saus Chili Pedas,561.0,1.3,13.0,35.0,100.0
"Tagliatelle dengan Chestnut, Pancetta, dan Sage",561.0,10.4,71.5,17.0,100.0
Rebusan Makanan Laut Cioppino dengan Roti Bakar Gremolata,561.0,6.9,48.5,49.0,100.0
"Spaghetti dengan Tomat Manis, Daun Bawang Putih, dan Kemangi Lemon",560.0,1.4,90.2,16.0,100.0
Sup Kerang dan Ikan Cod,560.0,4.4,33.8,59.0,100.0
Puyuh dengan Jus Delima,560.0,12.9,10.5,44.0,100.0
Kacang merah dan nasi,560.0,9.0,57.8,26.0,100.0
"Tagliatelle dengan Bit Parut, Krim Asam, dan Peterseli",560.0,10.2,76.5,14.0,100.0
Sup Sayur Ayam dengan Jeruk Nipis dan Ketumbar,559.0,1.0,40.8,36.0,100.0
Sup Salmon dan Dill,559.0,2.9,30.2,33.0,100.0
Rebusan Sayuran Italia,559.0,0.3,62.5,21.0,100.0
Sup Kacang Putih dengan Bebek Confit,559.0,2.5,61.0,27.0,100.0
"Salad Cincang dengan Ayam, Couscous, dan Sayuran",559.0,1.9,35.0,17.0,100.0
Moules Au Beurre D'Escargots,559.0,10.7,25.8,42.0,100.0
Kerang Hangat dan Salad Sayuran Yang Diasinkan,558.0,6.4,18.8,42.0,100.0
Lasagna Anderson Daging Sapi dan Sayuran Panggang,558.0,22.1,20.8,31.0,100.0
"Fricassée Ayam, Jamur, dan Daun Bawang",558.0,17.1,14.8,73.0,100.0
Tahu Goreng dengan Saus Karamel Asia,558.0,13.7,31.5,18.0,100.0
Pancake Kentang Daun Bawang dan Sandwich Salmon Asap,558.0,19.9,42.0,21.0,100.0
Penne dalam Saus Krim dengan Sosis,558.0,10.4,57.8,30.0,100.0
Uku Laulau Kukus dengan Saus Jahe-Daun Bawang,557.0,1.1,12.0,44.0,100.0
Pasta Brokoli Rabe dengan Bawang Putih Keemasan,557.0,5.1,64.8,16.0,100.0
Rotelle dengan Saus Jamur,557.0,14.9,93.5,21.0,100.0
Risotto dengan Penguntit Ayam dan Bit Hijau,557.0,19.2,69.8,29.0,100.0
Fettucine dengan Paprika Kuning (Fettucine Ai Peperoni Gialli),557.0,11.1,50.0,15.0,100.0
Meatloaf Sosis dan Paprika,557.0,6.8,19.2,30.0,100.0
"Farfalle dengan Butternut Squash, Jamur dan Bayam",556.0,10.1,83.0,20.0,100.0
Pasta dengan Zaitun Kalamata dan Saus Tomat Ceri Panggang,556.0,6.6,65.8,17.0,100.0
"Kentang, Sosis Italia, dan Salad Arugula",556.0,1.1,23.5,21.0,100.0
Pot Roast dengan Sayuran Akar Musim Dingin,556.0,7.9,36.8,55.0,100.0
"Sandwich ""Steak"" Portobello dengan Mentega Gorgonzola dan Vinaigrette Lada Merah",555.0,21.5,29.0,13.0,100.0
Burger Kepiting Wajah Terbuka dengan Saus Cabai Merah,555.0,14.4,60.5,22.0,100.0
"Salmon dengan Endive, Dill, dan Krim",555.0,11.9,12.0,39.0,100.0
Granola Almond-Kismis,555.0,7.5,73.0,14.0,100.0
"Sandwich Sosis Portugis dengan Paprika, Bawang, dan Zaitun",555.0,23.0,23.8,16.0,100.0
Risotto dengan Kangkung Tuscan dan Biji Labu Panggang,555.0,11.5,80.5,20.0,100.0
Hot Browns,555.0,12.4,24.2,29.0,100.0
Tartine Sarden Panggang dengan Bawang dan Arugula,555.0,9.8,32.5,50.0,100.0
Kue Mie Renyah dengan Udang dan Kacang Polong,554.0,11.6,56.8,21.0,100.0
Risotto Kembang Kol dengan Brie dan Almond,554.0,12.8,65.5,19.0,100.0
Burger Domba Ala Turki dengan Saus Walnut,554.0,16.3,27.0,26.0,100.0
Ayam Kari Cina,554.0,6.2,20.5,55.0,100.0
Taglierini dengan Kerang Karamel dan Rosemary Beurre Blanc,553.0,5.4,51.0,22.0,100.0
Ikan Trout Tumis dengan Pecan,553.0,6.7,12.5,20.0,100.0
Tart Meringue Markisa,553.0,14.9,65.2,10.0,100.0
Kari Udang dengan Nasi,552.0,7.8,15.2,26.0,100.0
Pai Tortila,552.0,6.1,66.8,24.0,100.0
"Lasagne Poblano Meksiko, Bayam, dan Kacang Hitam dengan Keju Kambing",552.0,15.3,39.5,22.0,100.0
Sayap Ayam Panggang Ala Thailand dengan Saus Asam Pedas,552.0,18.8,23.8,40.0,100.0
Puding Roti dengan Saus Bourbon Hangat,552.0,24.9,27.0,12.0,100.0
Ayam dengan Saus Cranberry-Moster,552.0,19.2,21.0,72.0,100.0
Potongan Ikan Goreng dan Kentang dengan Bawang dan Paprika Hijau,552.0,14.0,19.5,15.0,100.0
Chowder Seafood Manhattan,552.0,7.2,49.5,48.0,100.0
Sandwich Daging Kornet dan Coleslaw,552.0,20.4,61.5,18.0,100.0
Tortelloni Ricotta dan Bayam dalam Saus Tomat,551.0,13.3,48.2,22.0,100.0
Sosis Panggang,551.0,10.7,57.2,22.0,100.0
"Scalloped Kentang dengan Adas, Jamur, dan Keju Kambing",551.0,13.7,49.8,25.0,100.0
Ayam dan Kentang Tumbuk dengan Tomat Panggang Herba dan Kaldu Zaitun,551.0,11.6,11.2,41.0,100.0
"Kue Risotto Sage, Bawang, dan Nasi Liar",551.0,17.7,69.8,14.0,100.0
Linguine dengan Salmon dan Jamur,551.0,3.0,51.2,28.0,100.0
Puding Croissant Natal dengan Krim Asam dan Saus Gula Merah,551.0,21.7,59.2,11.0,100.0
Ikan Cod Oven Renyah,550.0,5.7,41.0,38.0,100.0
Bit Bayi Panggang dan Salad Arugula dengan Lemon Gorgonzola Vinaigrette,550.0,9.9,37.8,12.0,100.0
Crepes dengan Saus Karamel dan Pecan Panggang,550.0,10.2,57.0,13.0,100.0
Sayuran Panggang Ala Spanyol dengan Breadcrumb Picada,550.0,12.8,53.5,12.0,100.0
Zucchini Panggang dan Fattoush Paprika,550.0,13.9,28.5,10.0,100.0
Kue Kucai dengan Jagung Asap dan Rebusan Okra,550.0,0.4,54.8,22.0,100.0
Sup Ayam dengan Jamur Liar dan Bola Matzo Herbed,550.0,3.9,13.8,36.0,100.0
Sandwich Salad Tuna dan Zaitun,550.0,6.4,43.8,33.0,100.0
Lelehan Patty dengan Bawang Bakar,549.0,12.6,14.2,42.0,100.0
Kue Kepiting dengan Saus Caper Krim,549.0,21.4,23.2,15.0,100.0
Kue Sauerkraut Goreng dengan Kielbasa,549.0,11.9,10.5,30.0,100.0
Roti Mini Walnut,549.0,20.0,77.0,13.0,100.0
"Pizza Panggang dengan Tomat, Jagung dan Keju",549.0,11.9,71.5,23.0,100.0
Kue Wajan Walnut dengan Mentega Jeruk,549.0,20.6,43.2,13.0,100.0
Ayam Lemon Maroko,548.0,13.3,27.8,44.0,100.0
"Pasta dengan Daging Sapi Muda, Sosis, dan Ragù Porcini",548.0,4.3,69.8,29.0,100.0
Sup Udang dan Jagung,548.0,4.8,41.0,15.0,100.0
Tri-Tip Panggang dengan Bumbu Tequila dan Kenikmatan Tomat Ceri,548.0,14.4,10.2,48.0,100.0
Penne Alla Gorgonzola,548.0,10.3,59.0,24.0,100.0
Fillet Makarel Berlapis Kecap Asin-Maple dengan Alpukat,547.0,14.9,35.5,45.0,100.0
Casserole Mie Bayam,547.0,19.5,44.8,20.0,100.0
Taco Ikan Bakar,547.0,9.4,38.2,22.0,100.0
Sandwich Kielbasa Panggang,547.0,10.2,37.8,18.0,100.0
Tagine Ikan Maroko dengan Paprika dan Zaitun,547.0,4.0,24.5,38.0,100.0
Pai Beras Italia (Pastiera Di Riso),546.0,7.8,60.5,13.0,100.0
Steak Panfried dengan Saus Barbekyu Cepat,546.0,9.1,20.5,35.0,100.0
"Nasi Hitam Cina, Jeruk, dan Salad Alpukat",546.0,1.0,91.0,14.0,100.0
Steak Campur Paprika dengan Bawang,546.0,18.7,12.8,36.0,100.0
Tuna Bakar dengan Saus Kelapa Wasabi dan Pilaf Nasi Lada Panggang,546.0,6.6,102.0,12.0,100.0
Linguine Avgolemono dengan Jantung Artichoke dan Kacang Hijau,546.0,1.2,77.8,25.0,100.0
Vegetable Rundown,546.0,8.0,61.5,12.0,100.0
Stew Domba dengan Daun Bawang dan Artichoke Muda,545.0,5.0,21.8,65.0,100.0
Sup Goulash,545.0,1.4,28.8,40.0,100.0
Terong Isi Sosis Jambalaya,545.0,14.9,67.0,22.0,100.0
"Pizza Panggang dengan Pir, Pecorino Segar, dan Kenari",545.0,9.7,10.2,27.0,100.0
"Mie Udon dengan Udang, Kacang Polong, dan Kacang Tanah",545.0,9.5,63.2,28.0,100.0
"Orzo dengan Labu Kuning, Jamur, dan Kacang Pinus",545.0,6.8,72.0,17.0,100.0
Rigatoni dengan Pesto Lemon-Chili dan Telur Parut,545.0,14.1,64.8,13.0,100.0
"Keju Kambing, Ubi Jalar, dan Omelet Crouton",545.0,15.5,42.8,26.0,100.0
Kepingan Granola Maple,544.0,6.6,53.0,11.0,100.0
Bass Bergaris dengan Sayuran Kunyit dan Rabe Brokoli Berbumbu,544.0,9.4,24.0,40.0,100.0
Pasta Sayuran Hijau dan Keju Kambing,544.0,11.5,80.2,22.0,100.0
Risotto Kreol Udang,544.0,5.0,66.0,16.0,100.0
Paha Ayam Panggang Ala Cina,544.0,13.0,11.5,39.0,100.0
Roti Datar Koboi dengan Salad Arugula dan Saus Lemon-Pepper,544.0,4.5,55.2,11.0,100.0
Terong Cina Isi Goreng,543.0,11.0,34.2,25.0,100.0
"Nacho Daging Sapi, Kacang Hitam, dan Jagung",543.0,17.5,35.0,31.0,100.0
Potpie Bourguignonne Daging Sapi,543.0,27.0,26.2,33.0,100.0
Burger Keju Dioles Kopi dengan Saus Barbekyu Texas,543.0,27.5,24.8,39.0,100.0
Puding Roti Custard Apel dan Ceri Kering,543.0,19.9,67.2,10.0,100.0
"Burrata, Tomat Jepang, Panzanella, Arugula Liar",543.0,12.1,13.0,17.0,100.0
Salad Nasi Basmati dengan Kismis dan Kacang,543.0,5.3,58.2,10.0,100.0
Lo Mein dengan Daging Sapi,543.0,19.3,50.2,36.0,100.0
Chilaquiles,543.0,5.3,78.5,19.0,100.0
Stroganoff Jamur,543.0,5.6,79.8,20.0,100.0
Gratin Kentang dan Seledri dengan Haddock Asap,543.0,5.4,40.0,17.0,100.0
Campur-campur Seafood Panggang dengan Saus Paprika-Lemon,542.0,12.9,11.0,75.0,100.0
Hash Ubi,542.0,7.4,41.0,18.0,100.0
Torte Kenari-Blackberry dengan Krim Mentega Mocha,542.0,13.8,43.5,11.0,100.0
Keripik tempe,542.0,5.9,11.5,40.3,100.0
Tagliatelle dengan Pesto Jagung Segar,541.0,8.0,55.0,15.0,100.0
Kari Ayam Thailand,541.0,5.4,27.5,20.0,100.0
Trippa Alla Romana,541.0,9.9,21.5,44.0,100.0
Kerang dalam Saus Lada Hijau,540.0,6.2,30.5,55.0,100.0
"Sate Ayam, Udang dan Daging Sapi dengan Saus Kacang",540.0,18.3,24.2,41.0,100.0
Sosis Panggang dengan Saus Porcini Tomat Chunky,540.0,14.6,10.0,26.0,100.0
Kerang dengan Kari Merah Thailand,540.0,11.5,11.8,31.0,100.0
Salmon Balut Horseradish dengan Saus Bit,540.0,3.6,12.2,44.0,100.0
Timballos Keju Polenta dengan Telur dan Bayam,540.0,15.8,25.8,26.0,100.0
Pancake Mie Renyah,540.0,18.4,61.2,13.0,100.0
Ikan Lele Goreng dengan Salad Arugula-Jeruk,540.0,14.7,33.5,25.0,100.0
Linguine Alla Carbonara,540.0,14.0,53.5,23.0,100.0
"Bit Panggang dan Wortel dengan Cumin Vinaigrette, Chickpea Puree, dan Roti Pipih",540.0,11.9,44.0,10.0,100.0
"Orzo dengan Bit, Zaitun, Feta, dan Telur Rebus",539.0,1.7,64.2,21.0,100.0
Mie Beras Asia Tenggara dengan Cumi dan Rempah-rempah,539.0,5.0,60.0,23.0,100.0
Burger Domba Kari dengan Sayuran Panggang dan Mint Raita,539.0,6.9,13.2,27.0,100.0
Salad Labu Hangat dengan Polenta dan Manisan Biji Labu,539.0,5.2,43.8,19.0,100.0
Mac dan Keju Southern,539.0,14.0,40.0,25.0,100.0
Gnocchi Ubi Jalar dengan Mentega Coklat dan Sage,539.0,14.8,54.8,17.0,100.0
Pasta dengan Kacang dan Daging Sapi,539.0,5.6,71.5,34.0,100.0
"Linguine Kepiting dengan Basil, Lemon & Chili",538.0,4.6,66.5,23.0,100.0
"Zucchini, Tomat Kering, dan Tart Mozarella",538.0,11.2,32.0,17.0,100.0
Hash Confit Bebek,538.0,14.1,32.8,14.0,100.0
"Kentang Tumbuk Bawang Putih, Cheddar Putih, dan Chipotle",538.0,14.5,54.2,15.0,100.0
"Pasta dengan Lobster, Tomat, dan ""Herbes De Maquis""",538.0,4.0,64.5,43.0,100.0
Tumis Lobak dan Parsnip dengan Rosemary,538.0,6.8,92.0,11.0,100.0
Tart Kacang Hitam dengan Kerak Cabai,538.0,10.2,38.5,15.0,100.0
Telur Rebus Di Atas Dasar Artichoke dengan Krim Truffle Putih dan Jamur,538.0,4.4,29.0,20.0,100.0
Enchilada Sayuran Kebun,538.0,11.3,41.8,23.0,100.0
Burger Domba Herba,538.0,14.6,39.0,28.0,100.0
Gnocchi Lemon dengan Bayam dan Kacang Polong,537.0,18.4,91.8,20.0,100.0
Bakso Saus Tomat Bawang Putih,537.0,8.2,15.0,27.0,100.0
Ayam Kedelai Bawang Putih,537.0,18.2,19.0,41.0,100.0
Kurma Bermerek dan Pai Kenari,537.0,5.5,72.5,10.0,100.0
Penne Kari Thailand dengan Chutney Jahe-Tomat,537.0,12.1,53.8,22.0,100.0
Sosis Italia Panggang dengan Lada Hangat dan Salad Bawang,537.0,7.1,12.8,18.0,100.0
Pasta dan Gratin Truffle Putih,537.0,5.7,64.0,14.0,100.0
Roti dengan Labu dan Bayam,537.0,15.1,60.5,13.0,100.0
Bocconcini Daging Sapi dengan Porcini dan Rosemary,536.0,9.6,23.2,41.0,100.0
Strata Keju Arizona,536.0,10.6,40.0,31.0,100.0
"Orzo dengan Tomat, Feta, dan Daun Bawang",536.0,12.1,53.0,18.0,100.0
Risotto Barley Panggang dan Asparagus,536.0,9.9,80.2,20.0,100.0
Cumi Fritti dengan Saus Celup Ponzu Krim,535.0,7.4,17.0,20.0,100.0
Pitas Daging Sapi dan Bawang Berbumbu dengan Saus Peterseli,535.0,8.8,27.2,30.0,100.0
Paket Halibut dan Tomat Panggang,535.0,12.0,11.8,86.0,100.0
Sup Wortel dengan Biji Wijen dan Daun Bawang,535.0,4.1,39.8,13.0,100.0
Keju Swiss Leleh dengan Sayuran,534.0,13.6,27.5,34.0,100.0
"Pasta dengan Tomat, Kacang Pinus, dan Kemangi",534.0,9.0,60.0,15.0,100.0
Kentang Tumbuk Lobak Pedas,534.0,10.3,77.5,11.0,100.0
Pai Madu-Keju dengan Kompot Stroberi,534.0,13.4,51.8,12.0,100.0
"Salad Jagung, Tomat, dan Lobster",534.0,9.3,48.0,36.0,100.0
Sup Ayam Beraroma Jahe,534.0,3.9,35.8,37.0,100.0
"Lentil dengan Mentimun, Chard, dan Telur Rebus",534.0,1.4,62.5,35.0,100.0
Kacang atom,533.0,14.9,28.8,27.8,100.0
Pancake Jagung Segar,533.0,28.9,43.5,11.0,100.0
Stik Ikan Keemasan,533.0,10.7,31.0,37.0,100.0
Burger Berwajah Terbuka dengan Saus Keju Lobak,533.0,25.4,19.2,42.0,100.0
"Lasagna Udang, Kerang, dan Cod",533.0,7.9,30.8,35.0,100.0
Flank Steak Isi Bayam dan Wortel,533.0,24.9,22.2,48.0,100.0
Cobbler Roti Jagung Daging Sapi Berbumbu,533.0,13.3,38.5,34.0,100.0
Puding Roti Labu dengan Saus Apel Karamel Pedas,533.0,10.9,59.2,11.0,100.0
Polenta Panggang dengan Shiitake Ragoût,533.0,10.1,58.2,21.0,100.0
Telur Dadar Kentang Spanyol (Tortilla De Papa Espanola) dengan Saus Romesco,533.0,13.8,21.2,13.0,100.0
Sup Krim Brokoli dengan Jamur Liar,533.0,13.7,29.8,18.0,100.0
Sup Lobak Krim dengan Wortel Julienne,532.0,11.7,75.5,17.0,100.0
Ayam dengan Sayuran dan Pangsit Peterseli,532.0,16.1,19.0,51.0,100.0
Kari Udang dengan Yu Choy dan Labu Kabocha,532.0,7.1,30.5,17.0,100.0
Ikan Utuh Panggang dengan Kentang dan Lemon,531.0,2.6,39.8,48.0,100.0
"Spaghettini dengan Gorgonzola, Daun Bawang, dan Bawang Merah",531.0,6.4,77.5,17.0,100.0
Potongan Daging Ayam Dilapisi Tepung Roti dengan Saus Sayuran Chunky,531.0,29.4,35.2,66.0,100.0
Granola Ceri dan Kelapa dengan Yogurt,530.0,8.9,55.0,10.0,100.0
Salmon Panggang Mustard dengan Saus Lingonberry,530.0,2.7,17.8,36.0,100.0
Burger Panggang dengan Mayones Roquefort dan Bawang Merah Panggang,530.0,14.5,23.8,30.0,100.0
Kue Quinoa dan Ubi Jalar,530.0,18.6,42.5,27.0,100.0
Borscht Bit dan Kubis,530.0,13.1,51.8,20.0,100.0
"Butternut Squash, Sage, dan Ravioli Keju Kambing dengan Saus Mentega Coklat Hazelnut",530.0,19.7,65.5,13.0,100.0
Salad Telur Benedict,530.0,5.8,10.2,21.0,100.0
Ikan Bass Panggang dengan Kerak Remah Roti Walnut dan Saus Lemon-Dill,530.0,6.1,21.8,41.0,100.0
Bagea kenari asin,529.0,6.2,63.6,3.2,100.0
"Sandwich Steak Panggang, Bawang, dan Paprika",529.0,18.2,25.0,42.0,100.0
Ayam Rebus Dingin dengan Minyak Daun Bawang Jahe,529.0,0.8,24.2,36.0,100.0
Ayam Kulit Pistachio dengan Bumbu dan Saus Krim Mustard,529.0,17.2,17.8,38.0,100.0
Pai Keju Manis,529.0,9.4,53.2,16.0,100.0
Risotto Primavera,529.0,14.8,68.2,28.0,100.0
Tumis Bass dengan Pesto Mint dan Wortel Berbumbu,529.0,9.8,12.2,39.0,100.0
Tart Keju Kambing Asparagus dengan Tarragon,528.0,17.6,34.2,19.0,100.0
Kentang Panggang Oven Pedas,528.0,11.2,89.5,11.0,100.0
Meatloaf Sayur Panggang dengan Kentang Tumbuk Mustard,528.0,6.8,31.0,47.0,100.0
Kakap Merah Panggang dengan Saus Tomat Beraroma Adas,528.0,8.6,25.5,66.0,100.0
Strata Sosis dan Keju dengan Tomat Kering,528.0,14.2,36.5,28.0,100.0
Kue Mousse Mangga-Jeruk,528.0,26.9,66.0,12.0,100.0
Salad Nasi Merah dengan Kecambah dan Biji Renyah,527.0,6.9,50.2,23.0,100.0
Agnolotti dengan Kacang Manis dan Keju Kambing,527.0,14.2,43.5,14.0,100.0
Puding Roti Gandum Utuh Apel dan Kenari,527.0,14.1,82.2,18.0,100.0
Kale Minestrone dengan Pistou,527.0,9.8,59.2,23.0,100.0
Orzo Panggang Lemon Dill dengan Gruyère,527.0,11.7,65.8,21.0,100.0
Salad Ikan Hering dan Coleslaw Bit Panggang,527.0,6.8,38.5,28.0,100.0
"Spaghetti Gandum Utuh dengan Brokoli, Buncis, dan Bawang Putih",527.0,6.4,71.2,20.0,100.0
Acorn Squash,527.0,8.0,80.5,13.0,100.0
Salmon Gula Merah-Chipotle dengan Glasir Madu-Berry,526.0,6.0,16.2,41.0,100.0
Mangkuk Ubi Jalar dan Ayam Pedas a la Meksiko,526.0,10.6,41.8,29.0,100.0
Sup Lentil dengan Domba dan Mint,526.0,2.6,49.5,28.0,100.0
Kugel Mie,526.0,5.3,59.0,14.0,100.0
"Tomat Ceri, Ricotta, dan Galette Zaitun",526.0,8.4,52.5,16.0,100.0
Mangkuk Spaghetti Squash a la Vietnam dengan Skirt Steak,526.0,9.2,26.0,29.0,100.0
Ayam dengan Saus Jamur Krim,525.0,16.2,22.8,59.0,100.0
Strudel Salmon dan Bayam,525.0,3.7,15.0,33.0,100.0
"Rigatoni dengan Paprika Merah, Jamur Liar, dan Fontina",525.0,8.9,77.5,20.0,100.0
"Salmon dengan Remah Roti, Zaitun, dan Kerak Tomat",525.0,15.9,25.5,36.0,100.0
Roti Daging Herba Jamur Eich,525.0,15.7,16.0,41.0,100.0
Couscous Israel dengan Labu Panggang dan Awetan Lemon,525.0,5.3,84.5,13.0,100.0
Enting-enting kacang tanah,524.0,11.8,52.0,13.3,100.0
"Fettuccine dengan Salmon Asap, Keju Kambing, Daun Bawang, dan Zucchini",524.0,13.3,63.8,20.0,100.0
Mac dan Keju Wortel,524.0,10.8,28.0,22.0,100.0
Ayam Cornish dengan Kubis Jintan,524.0,9.5,55.8,28.0,100.0
Mie Goreng dengan Kari Domba Singapura,524.0,14.9,53.5,19.0,100.0
Fyrstekake Keluarga Yarnall (Tart Kapulaga-Almond Norwegia),523.0,7.5,53.2,10.0,100.0
Bagea kenari manis,523.0,7.5,64.2,3.2,100.0
Sup Kerang Cepat,523.0,0.7,67.8,27.0,100.0
Salad Gandum Campuran dengan Buah Kering,522.0,9.8,73.2,10.0,100.0
"Tart Phyllo Bayam, Feta, dan Kacang Pinus",522.0,14.2,15.8,18.0,100.0
Fillet Ikan Cod Hitam Direbus dalam Kaldu Lima Bumbu dengan Baby Bok Choy dan Udon,522.0,1.6,50.5,44.0,100.0
Sup Kacang Hitam dengan Salsa Ketumbar-Tomat,522.0,1.5,64.5,30.0,100.0
Kari Ayam Sederhana,522.0,5.7,30.8,39.0,100.0
Pizza Tortila Santa Fe,522.0,6.4,45.8,33.0,100.0
Sup Cabai Merah Dingin dengan Basil dan Crouton,522.0,1.3,63.8,15.0,100.0
Quiche Tanpa Kulit,521.0,6.7,13.5,29.0,100.0
Nasi Hijau dan Kacang Hitam,521.0,5.5,59.2,26.0,100.0
Kacang kedelai goreng,521.0,9.4,22.9,32.2,100.0
Sayap Ayam dengan Glasir Kari-Yogurt,521.0,8.2,12.0,44.0,100.0
Ziti dengan Kielbasa dan Sauerkraut,521.0,14.9,49.5,20.0,100.0
Strozzapreti dengan Jamur dan Ricotta,521.0,5.9,71.0,21.0,100.0
Salmon Cannelloni dengan Saus Krim Lemon,521.0,9.4,13.2,36.0,100.0
Pasta dengan Herbed Ricotta dan Mentega Coklat Kacang Pinus,520.0,5.3,61.8,21.0,100.0
Telur Goreng Minyak Zaitun dengan Mozzarella dan Harissa,520.0,13.6,22.2,20.0,100.0
Ceri dalam Sirup Almond Di Atas Yogurt Yunani,520.0,13.9,42.5,29.0,100.0
Quesadillas Bawang Manis,520.0,7.0,62.8,20.0,100.0
Sup Jagung yang Lezat,520.0,0.4,38.2,13.0,100.0
Paprika Daging Sapi,520.0,19.0,12.5,32.0,100.0
Ayam Rebus dengan Paprika Hijau dan Tomat,520.0,0.0,14.5,30.0,100.0
Jambalaya Louisiana,519.0,7.9,54.2,17.0,100.0
Stew Nelayan Portugis,519.0,6.6,18.2,53.0,100.0
Kerang Kukus dengan Saus Kari Thailand,519.0,1.8,12.2,32.0,100.0
"Gratin Kacang Putih, Tomat, dan Zucchini",519.0,14.8,69.5,22.0,100.0
Mie Asia dengan Confit Bebek Panggang,519.0,10.3,59.5,14.0,100.0
Sarden Panggang dengan Selada Wortel-Adas,519.0,7.8,21.5,61.0,100.0
Gulungan Lasagna Labu Butternut,519.0,2.6,31.5,33.0,100.0
Salad Tiga Kacang dengan Saus Cabai Ketumbar,519.0,6.2,57.0,21.0,100.0
Pancake Walnut Buttermilk Panggang dengan Sirup Maple Cranberry,518.0,12.1,88.0,10.0,100.0
Bakso Asia dengan Saus Celup Jeruk Nipis Wijen,518.0,0.5,13.5,35.0,100.0
"Kacang Fava, Kacang Polong, dan Rebusan Artichoke",518.0,1.9,48.0,23.0,100.0
Pot Roast a la New Mexico,518.0,8.6,42.8,53.0,100.0
"Ikan Bass Laut dengan Daun Bawang, Kentang, dan Vinaigrette Balsamic",518.0,4.9,42.0,38.0,100.0
Ikan Bass Laut dengan Fettuccine Lemon Caper,518.0,6.6,45.5,39.0,100.0
Polenta Lembut dengan Daun Bawang,518.0,8.8,77.2,14.0,100.0
Nasi dengan Bayam dan Keju Feta,518.0,14.1,61.8,16.0,100.0
Gravlaks dengan Saus Mustard Manis,517.0,13.5,15.8,46.0,100.0
Bawang Isi Thanksgiving,517.0,13.8,64.2,29.0,100.0
Pasta Verde Salmon Asap,517.0,1.5,84.5,20.0,100.0
Sup Salmon dan Sayur,517.0,3.2,30.8,31.0,100.0
Fettucine dengan Salmon Asap dan Asparagus,517.0,5.5,53.0,20.0,100.0
"Terong, Cabai Merah, dan Fontina Panini dengan Salad Bayam",517.0,7.0,18.0,28.0,100.0
Betis Daging Sapi Rebus dengan Kecap dengan Kayu Manis dan Adas Bintang,517.0,1.0,48.8,58.0,100.0
Udang dengan Jeruk,517.0,1.3,43.8,18.0,100.0
Pot Roast dengan Kuah Kaya,516.0,6.6,31.0,62.0,100.0
Kacang goyang,516.0,7.5,44.4,14.7,100.0
Lasagna Sayuran Panggang,516.0,7.6,31.2,19.0,100.0
Kerang Kukus dengan Sofrito,516.0,1.9,40.8,50.0,100.0
Blintz Keju dengan Kompot Strawberry-Rhubarb,515.0,11.0,54.8,11.0,100.0
"Puding Roti dengan Apel, Kismis, dan Buah Ara",515.0,21.7,58.2,12.0,100.0
Halibut Pada Kacang Fava Tumbuk dengan Mint,515.0,13.7,29.8,45.0,100.0
Profiteroles dengan Es Krim Lavender Madu,515.0,11.9,37.8,10.0,100.0
Salad Tomat Bayi dan Keju Kambing Segar,515.0,7.9,26.5,19.0,100.0
Mie Benang Kacang dengan Acar Sayuran,514.0,8.1,55.5,10.0,100.0
Salad Ayam dan Mangga dengan Saus Jahe-Jeruk,514.0,7.3,15.8,34.0,100.0
"Ayam Rebus dengan Jantung Artichoke, Jamur, dan Paprika",514.0,0.7,38.0,32.0,100.0
Salad Tomat Pusaka dengan Keju Biru,514.0,8.4,46.0,15.0,100.0
Spaetzle Herba,514.0,10.9,58.8,18.0,100.0
Pilus,514.0,14.6,647.0,1.0,100.0
Nasi dan Mie Goreng dengan Ayam dan Cumi,514.0,27.1,59.2,22.0,100.0
Orzo Carbonara,514.0,6.7,44.2,19.0,100.0
Tabbouleh Timur Tengah dan Salad Domba,513.0,8.2,31.5,18.0,100.0
Stew Daging Sapi Flemish,513.0,14.3,30.0,60.0,100.0
Peyek kacang tanah,513.0,8.2,44.3,17.5,100.0
Spageti Alla Puttanesca,513.0,14.1,68.8,19.0,100.0
Bakso Saus Tomat,513.0,10.0,23.8,37.0,100.0
Abon ikan,513.0,8.3,21.3,23.7,100.0
Nasi Jollof,512.0,6.2,77.8,12.0,100.0
Meatloaf Gaya Southern,512.0,12.6,16.8,37.0,100.0
Sayuran Akar Panggang dengan Saus Romesco,512.0,11.0,58.5,11.0,100.0
Paprika dengan Tepung Roti Almond-Bawang Putih,512.0,17.5,55.5,14.0,100.0
Penne Puttanesca dengan Ayam,512.0,13.6,54.0,29.0,100.0
Milan Ayam Lemon dengan Salad Arugula,512.0,2.7,17.2,59.0,100.0
Kue tambang,512.0,25.0,60.4,26.0,100.0
Ayam dengan Paprika dan Zaitun,512.0,13.5,18.0,38.0,100.0
